TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
ATULAUTO,20231006, 587.60, 614.70, 583.55, 607.40, 196433, 88207
AUBANK,20231006, 719.90, 720.00, 712.45, 713.55, 718188, 285100
AURDIS,20231006, 206.00, 213.90, 206.00, 211.50, 5000, 4000
AURIONPRO,20231006, 1371.00, 1382.05, 1323.00, 1382.05, 27586, -
AUROIMPEX,20231006, 61.70, 67.50, 61.70, 67.45, 27200, 24000
AUROPHARMA,20231006, 877.10, 903.50, 877.10, 900.85, 1973985, 778255
AURUM,20231006, 123.80, 132.00, 122.10, 129.35, 141220, 87592
AUSOMENT,20231006, 76.80, 77.95, 75.80, 76.10, 9621, 5211
AUTOAXLES,20231006, 2205.05, 2238.90, 2203.00, 2231.45, 10500, 5840
AUTOBEES,20231006, 163.39, 163.39, 162.10, 162.83, 56132, 49207
AUTOIND,20231006, 119.25, 119.30, 108.25, 112.45, 210284, -
AVADHSUGAR,20231006, 664.90, 678.00, 658.00, 660.90, 89913, 24836
AVALON,20231006, 570.95, 581.65, 562.50, 570.55, 204502, 77796
AVANTIFEED,20231006, 442.55, 447.00, 442.00, 445.80, 119526, 67346
AVG,20231006, 281.10, 287.00, 276.60, 285.15, 73700, 45973
AVONMORE,20231006, 71.30, 72.00, 70.15, 71.90, 10662, -
AVROIND,20231006, 115.00, 115.00, 111.15, 111.80, 27851, 5019
AVSL,20231006, 113.15, 113.20, 113.15, 113.15, 2000, 2000
AVTNPL,20231006, 81.85, 82.90, 81.40, 81.90, 143184, 82792
AWHCL,20231006, 377.40, 404.00, 374.75, 389.35, 1070527, 313781
AWL,20231006, 352.95, 355.00, 347.00, 349.05, 1261269, 534927
AXISBANK,20231006, 1005.00, 1008.00, 999.40, 1000.95, 5289753, 2958493
AXISCADES,20231006, 548.75, 548.75, 548.75, 548.75, 27152, -
AXISGOLD,20231006, 47.92, 48.89, 47.92, 48.55, 194866, 152827
AXISILVER,20231006, 70.39, 71.72, 69.86, 71.35, 7020, 4424
AXITA,20231006, 26.75, 26.75, 26.40, 26.50, 104362, -
AXSENSEX,20231006, 65.95, 66.45, 64.63, 66.20, 7071, 5472
AYMSYNTEX,20231006, 67.70, 71.40, 67.70, 68.45, 17090, 4401
BAFNAPH,20231006, 95.00, 95.00, 91.60, 92.40, 4790, -
