TICKERCODE, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
506186,20231006,13.59,13.60,13.01,13.25,1242
506222,20231006,1051.70,1090.00,1047.90,1080.05,759
506248,20231006,132.45,144.70,127.55,141.10,83598
506260,20231006,132.00,132.00,128.45,129.85,19503
506365,20231006,28.50,30.00,28.00,30.00,1706
506390,20231006,442.05,446.70,439.00,443.70,3811
506414,20231006,163.40,163.40,157.00,158.30,6373
506520,20231006,8.28,8.61,7.97,8.21,40552
506525,20231006,136.10,139.80,135.25,136.85,21925
506528,20231006,1674.95,1698.80,1674.50,1698.80,128
506530,20231006,950.00,995.00,950.00,995.00,20
506532,20231006,823.00,831.45,823.00,825.80,5706
506543,20231006,8.00,8.00,7.60,7.94,344
506579,20231006,784.25,803.00,781.00,790.55,573
506597,20231006,293.80,293.80,288.55,290.65,676
506605,20231006,2083.90,2160.00,2083.90,2160.00,192
506618,20231006,1102.30,1228.00,1080.95,1218.55,5295
506640,20231006,66.99,66.99,66.99,66.99,5
506642,20231006,79.05,81.00,79.05,80.03,31674
506655,20231006,489.00,489.00,478.00,480.50,4127
506685,20231006,411.00,429.00,407.60,424.70,36856
506687,20231006,1875.00,1897.90,1860.05,1876.80,1896
506734,20231006,150.00,152.00,146.10,147.70,1870
506808,20231006,96.00,97.78,90.20,92.62,433330
506852,20231006,59.95,61.00,58.52,60.38,421589
506854,20231006,2049.00,2114.45,1960.00,2114.45,42200
506858,20231006,73.91,73.91,73.91,73.91,477
506879,20231006,1021.00,1049.00,1021.00,1038.10,24007
506906,20231006,2.52,2.52,2.52,2.52,2830
506910,20231006,81.95,82.00,79.01,81.90,7722
506919,20231006,109.90,111.40,107.45,110.45,383
506935,20231006,59.05,62.00,59.05,62.00,115
506943,20231006,1498.25,1520.00,1461.10,1496.55,9954
506947,20231006,155.15,161.00,155.15,155.20,22
506979,20231006,32.25,32.25,32.25,32.25,2
506981,20231006,137.90,140.25,135.25,135.40,235
507155,20231006,136.60,137.65,131.15,137.65,40464
507180,20231006,96.35,96.35,96.35,96.35,251
507205,20231006,207.55,217.95,205.70,213.05,64790
507265,20231006,137.00,137.00,137.00,137.00,2
507315,20231006,32.48,32.61,31.89,32.18,47616
507410,20231006,125.45,125.45,125.45,125.45,19204
507474,20231006,94.00,94.87,88.01,89.35,72709
507486,20231006,66.00,70.90,66.00,67.00,717
507490,20231006,27.01,27.64,27.01,27.17,36371
507498,20231006,36.22,36.22,36.22,36.22,32632
507514,20231006,374.05,375.30,361.05,369.10,112964
507515,20231006,24.30,24.55,24.00,24.55,1032
507526,20231006,466.95,469.45,457.60,466.70,7296
507580,20231006,162.30,170.75,162.30,166.00,1350
507598,20231006,209.60,209.60,196.10,209.10,12692
507621,20231006,627.70,627.70,608.10,616.90,176
507645,20231006,13445.00,13445.00,13000.00,13200.00,37
507685,20231006,407.20,409.85,406.75,407.75,348626
507690,20231006,195.10,208.00,182.30,183.90,42244
507717,20231006,852.00,855.00,832.15,845.90,4652
507747,20231006,1155.00,1155.05,1134.05,1147.70,2494
507753,20231006,115.70,116.30,114.00,114.80,135242
507759,20231006,36.93,36.93,36.93,36.93,44256
507779,20231006,122.20,124.95,121.50,122.65,288
507785,20231006,139.00,139.00,134.55,137.05,5733
507789,20231006,423.50,428.70,419.20,421.30,881
507794,20231006,64.90,65.90,64.90,65.28,14922
507808,20231006,23.47,23.47,23.47,23.47,650
507813,20231006,111.80,111.80,109.20,111.75,652
507817,20231006,148.45,148.45,146.50,146.50,121
507828,20231006,8.02,8.02,8.02,8.02,274852
507833,20231006,6.20,6.20,6.20,6.20,23292
507836,20231006,475.00,484.95,470.10,470.45,428
507852,20231006,54.48,54.48,47.55,49.94,11947
507864,20231006,33.78,33.78,32.51,33.49,2074
507872,20231006,38.56,41.20,38.56,40.80,1425
507878,20231006,2.45,2.45,2.39,2.39,2537813
507880,20231006,659.20,670.95,652.95,665.50,28473
507912,20231006,98.64,98.64,97.15,97.39,562
507944,20231006,1078.05,1091.50,1075.00,1082.80,2228
507946,20231006,85.00,85.00,77.62,77.63,782
507948,20231006,55.47,56.99,55.47,56.10,1866
507960,20231006,158.00,161.00,153.35,160.15,4744
507970,20231006,41.00,41.95,41.00,41.50,1096
507981,20231006,46.50,46.50,44.50,45.87,2028
507998,20231006,64.86,64.86,64.86,64.86,4866
508136,20231006,305.55,309.95,303.10,309.95,1247
508486,20231006,7344.95,7344.95,7100.00,7224.30,561
