TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
JUBLFOOD-I,20231005,534.15,541.5,528.75,529.85,3165,21402500
JUBLFOOD-II,20231005,529,536.15,524.5,525.55,472,781250
JUBLFOOD-III,20231005,528.65,530,521.35,522.3,33,48750
KOTAKBANK-I,20231005,1732.5,1755.9,1728.05,1742.5,9649,34157200
KOTAKBANK-II,20231005,1750.95,1768,1743.7,1754.65,376,866800
KOTAKBANK-III,20231005,1759.35,1779.05,1758.45,1767.4,58,53200
L&TFH-I,20231005,131.45,133.65,130.7,131.75,2185,67510060
L&TFH-II,20231005,133,134.5,131.75,132.7,114,2061444
L&TFH-III,20231005,134.25,135,132.65,132.65,7,187404
LALPATHLAB-I,20231005,2458.2,2483.25,2437.8,2449.85,1081,933900
LALPATHLAB-II,20231005,2460,2487.1,2460,2461.8,12,31800
LALPATHLAB-III,20231005,0,0,0,2451,0,1200
LAURUSLABS-I,20231005,392,395.55,388.75,392.9,1519,11327100
LAURUSLABS-II,20231005,391.55,393.9,389,391.65,645,1711900
LAURUSLABS-III,20231005,391.2,392.15,390,391.5,15,42500
LICHSGFIN-I,20231005,470.1,475.4,466.55,472.7,3112,23704000
LICHSGFIN-II,20231005,473.1,477.55,470,475.85,70,328000
LICHSGFIN-III,20231005,475.5,477.25,475.5,477.25,10,32000
LT-I,20231005,3044.9,3116.2,3035.25,3101.5,16182,9044700
LT-II,20231005,3059.9,3136.5,3059.85,3121.05,729,268800
LT-III,20231005,3099.85,3149.9,3085,3138.25,104,28200
LTIM-I,20231005,5224.95,5277,5198.35,5242.25,3046,1714350
LTIM-II,20231005,5243.95,5285,5235,5255.5,90,45000
LTIM-III,20231005,5269.95,5305,5269.95,5284.2,10,3750
LTTS-I,20231005,4575.1,4637.25,4575.1,4626.35,1404,581800
LTTS-II,20231005,4568.25,4604.65,4561.3,4598.35,79,41000
LTTS-III,20231005,4555,4561.75,4555,4561.75,2,1400
LUPIN-I,20231005,1162.9,1166.8,1146.15,1154.95,1259,5292950
LUPIN-II,20231005,1171.7,1174.45,1154.5,1162.35,82,168300
LUPIN-III,20231005,0,0,0,1153.5,0,0
