Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
949897,Infrastructure Leasing & Financial Services Limited,995ILFS2021,Infrastructure Leasing & Financial Services Ltd,Delisted,F ,1000,INE871D07NE2, ,Debentures and Bonds,-,-,-,-
949898,Infrastructure Leasing & Financial Services Limited,990ILFS2024,Infrastructure Leasing & Financial Services Ltd,Active,F ,1000,INE871D07NF9, ,Debentures and Bonds,-,-,-,-
949899,L&T Finance Limited,973LTFL24A,L&T Finance Ltd,Active,F ,1000000,INE691I08271, ,Debentures and Bonds,-,-,-,-
949900,JM FINANCIAL PRODUCTS LIMITED,11375JMFP16,JM FINANCIAL PRODUCTS Ltd,Delisted,F ,1000000,INE523H07221, ,Debentures and Bonds,-,-,-,-
949901,ECL Finance Limited,ECLA6D301,ECL Finance Ltd,Delisted,F ,100000,INE804I07SX1, ,Debentures and Bonds,-,-,-,-
949902,ECL Finance Limited,ECLK5D401,ECL Finance Ltd,Delisted,F ,100000,INE804I07TA7, ,Debentures and Bonds,-,-,-,-
949903,ECL Finance Limited,ECLC4B401,ECL Finance Ltd,Delisted,F ,100000,INE804I07SY9, ,Debentures and Bonds,-,-,-,-
949904,Reliance Capital Limited,RCL14FEB14A,Reliance Capital Ltd,Delisted,F ,100000,INE013A07YY2, ,Debentures and Bonds,-,-,-,-
949905,Reliance Capital Limited,RCL10FEB14B,Reliance Capital Ltd,Delisted,F ,100000,INE013A07YW6, ,Debentures and Bonds,-,-,-,-
949906,Reliance Capital Limited,RCL14FEB14C,Reliance Capital Ltd,Delisted,F ,100000,INE013A07YX4, ,Debentures and Bonds,-,-,-,-
949907,Reliance Capital Limited,RCL12FEB14D,Reliance Capital Ltd,Delisted,F ,100000,INE013A07YV8, ,Debentures and Bonds,-,-,-,-
949908,Kotak Mahindra Prime Limited,100108KMP17,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BU0, ,Debentures and Bonds,-,-,-,-
949909,Kotak Mahindra Prime Limited,1015KMPL17,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BW6, ,Debentures and Bonds,-,-,-,-
949910,Kotak Mahindra Prime Limited,99740KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BV8, ,Debentures and Bonds,-,-,-,-
949911,Kotak Mahindra Prime Limited,0KMPL2015E,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BX4, ,Debentures and Bonds,-,-,-,-
949912,Kotak Mahindra Prime Limited,99438KMPL15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BY2, ,Debentures and Bonds,-,-,-,-
949913,Inesh Realtors Private Limited,185IRPL2017,Inesh Realtors Pvt Ltd,Delisted,F ,42860,INE141Q07017, ,Debentures and Bonds,-,-,-,-
949914,Shriram Finance Limited,105STFC2015,Shriram Transport Finance Co. Ltd.,Delisted,F ,3000000,INE721A07HC1, ,Debentures and Bonds,-,-,-,-
949915,ECL Finance Limited,ECLK5C301,ECL Finance Ltd,Delisted,F ,100000,INE804I07TG4, ,Debentures and Bonds,-,-,-,-
949916,Reliance Capital Limited,102112RCL16,Reliance Capital Ltd,Delisted,F ,1000000,INE013A07YZ9, ,Debentures and Bonds,-,-,-,-
949917,Kotak Mahindra Prime Limited,1008KMPL15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BZ9, ,Debentures and Bonds,-,-,-,-
949918,Kotak Mahindra Prime Limited,100236KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CA0, ,Debentures and Bonds,-,-,-,-
949919,Kotak Mahindra Prime Limited,100215KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CB8, ,Debentures and Bonds,-,-,-,-
949920,Kotak Mahindra Prime Limited,100442KMP16,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CC6, ,Debentures and Bonds,-,-,-,-
949921,Kotak Mahindra Prime Limited,100685KMP17,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CD4, ,Debentures and Bonds,-,-,-,-
949922,Nido Home Finance Limited,0EHFL2017,Edelweiss Housing Finance Ltd,Delisted,F ,1000000,INE530L07046, ,Debentures and Bonds,-,-,-,-
949923,Infrastructure Leasing & Financial Services Limited,990ILFS24,Infrastructure Leasing & Financial Services Ltd,Active,F ,1000,INE871D07NH5, ,Debentures and Bonds,-,-,-,-
949924,Infrastructure Leasing & Financial Services Limited,990ILFS21,Infrastructure Leasing & Financial Services Ltd,Delisted,F ,1000,INE871D07NG7, ,Debentures and Bonds,-,-,-,-
949925,ECL Finance Limited,1115ECL2019,ECL Finance Ltd,Delisted,F ,1000000,INE804I07TF6, ,Debentures and Bonds,-,-,-,-
949926,L&T Finance Limited,973LTFL24B,L&T Finance Ltd,Active,F ,1000000,INE691I08289, ,Debentures and Bonds,-,-,-,-
949927,PVR INOX LIMITED,1095PVR2019,PVR Ltd.,Delisted,F ,1000000,INE191H07060, ,Debentures and Bonds,-,-,-,-
949928,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015F,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08544, ,Debentures and Bonds,-,-,-,-
949929,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015G,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08551, ,Debentures and Bonds,-,-,-,-
949930,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015H,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08569, ,Debentures and Bonds,-,-,-,-
949931,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015I,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08577, ,Debentures and Bonds,-,-,-,-
949932,ECL Finance Limited,ECLD72402,ECL Finance Ltd,Delisted,F ,100000,INE804I07TH2, ,Debentures and Bonds,-,-,-,-
949933,ECL Finance Limited,ECLA6E401,ECL Finance Ltd,Delisted,F ,100000,INE804I07TE9, ,Debentures and Bonds,-,-,-,-
949934,Shriram Finance Limited,975STFC2015,Shriram Transport Finance Co. Ltd.,Delisted,F ,1000000,INE721A07HD9, ,Debentures and Bonds,-,-,-,-
949935,Bajaj Finance Limited,0BFL2015I,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AC9, ,Debentures and Bonds,-,-,-,-
949936,Bajaj Finance Limited,0BFL2015J,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AD7, ,Debentures and Bonds,-,-,-,-
949937,Bajaj Finance Limited,0BFL2015K,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AE5, ,Debentures and Bonds,-,-,-,-
949938,Bajaj Finance Limited,0BFL2015L,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AF2, ,Debentures and Bonds,-,-,-,-
949939,Bajaj Finance Limited,0BFL2015M,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AG0, ,Debentures and Bonds,-,-,-,-
949940,Bajaj Finance Limited,0BFL2015N,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AH8, ,Debentures and Bonds,-,-,-,-
949941,CreditAccess Grameen Ltd.,121CAGL20A,CreditAccess Grameen Ltd,Delisted,F ,1000000,INE741K07181, ,Debentures and Bonds,-,-,-,-
949942,CreditAccess Grameen Ltd.,1402GKFSP16,Grameen Koota Financial Services Pvt. Ltd,Delisted,F ,25000,INE741K07074, ,Debentures and Bonds,-,-,-,-
949943,Punjab National Bank,965PNB2024,Punjab National Bank,Active,F ,1000000,INE160A08019, ,Debentures and Bonds,-,-,-,-
949944,JM FINANCIAL PRODUCTS LIMITED,0JMFPL2015D,JM FINANCIAL PRODUCTS Ltd,Delisted,F ,1000000,INE523H07239, ,Debentures and Bonds,-,-,-,-
949945,REC LIMITED,967REC2017,Rural Electrification Corporation Ltd,Delisted,F ,1000000,INE020B07IB6, ,Debentures and Bonds,-,-,-,-
949946,Reliance Capital Limited,RCL28FEB14A,Reliance Capital Ltd,Delisted,F ,100000,INE013A07ZB7, ,Debentures and Bonds,-,-,-,-
949947,Reliance Capital Limited,RCL28FEB14B,Reliance Capital Ltd,Delisted,F ,100000,INE013A07ZA9, ,Debentures and Bonds,-,-,-,-
949948,Kotak Mahindra Prime Limited,1013KMPL15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CE2, ,Debentures and Bonds,-,-,-,-
949949,Kotak Mahindra Prime Limited,99562KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CF9, ,Debentures and Bonds,-,-,-,-
949950,Kotak Mahindra Prime Limited,100441KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CG7, ,Debentures and Bonds,-,-,-,-
949951,Kotak Mahindra Prime Limited,101116KMP17,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CH5, ,Debentures and Bonds,-,-,-,-
949952,Kotak Mahindra Prime Limited,0KMPL2017B,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CI3, ,Debentures and Bonds,-,-,-,-
949953,Kotak Mahindra Prime Limited,100553KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CJ1, ,Debentures and Bonds,-,-,-,-
949954,Reliance Capital Limited,RCL06MAR14A,Reliance Capital Ltd,Delisted,F ,100000,INE013A07ZF8, ,Debentures and Bonds,-,-,-,-
949955,Reliance Capital Limited,RCL05MAR14B,Reliance Capital Ltd,Delisted,F ,100000,INE013A07ZC5, ,Debentures and Bonds,-,-,-,-
949956,Reliance Capital Limited,RCL05MAR14C,Reliance Capital Ltd,Delisted,F ,100000,INE013A07ZD3, ,Debentures and Bonds,-,-,-,-
949957,Reliance Capital Limited,RCL05MAR14D,Reliance Capital Ltd,Delisted,F ,100000,INE013A07ZE1, ,Debentures and Bonds,-,-,-,-
949958,Kotak Mahindra Prime Limited,102117KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CK9, ,Debentures and Bonds,-,-,-,-
949959,Kotak Mahindra Prime Limited,100730KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CL7, ,Debentures and Bonds,-,-,-,-
949960,Kotak Mahindra Prime Limited,100638KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CM5, ,Debentures and Bonds,-,-,-,-
949961,Kotak Mahindra Prime Limited,10096KMP17,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CN3, ,Debentures and Bonds,-,-,-,-
949962,L&T Finance Limited,973LTFL24C,L&T Finance Ltd,Active,F ,1000000,INE691I08305, ,Debentures and Bonds,-,-,-,-
949963,Hinduja Leyland Finance Limited,12HLFL2021,Hinduja Leyland Finance Ltd,Delisted,F ,1000000,INE146O08019, ,Debentures and Bonds,-,-,-,-
949964,Kotak Mahindra Prime Limited,0KMPL2016B,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CQ6, ,Debentures and Bonds,-,-,-,-
949965,ECL Finance Limited,ECLB6B401,ECL Finance Ltd,Delisted,F ,100000,INE804I07TJ8, ,Debentures and Bonds,-,-,-,-
949966,ECL Finance Limited,ECLD7B403,ECL Finance Ltd,Delisted,F ,100000,INE804I07TL4, ,Debentures and Bonds,-,-,-,-
